iter	Passed	Remaining
871	1342	197
872	1343	195
873	1345	193
874	1346	192
875	1348	190
876	1350	189
877	1351	187
878	1353	186
879	1355	184
880	1356	183
881	1357	181
882	1359	180
883	1361	178
884	1362	177
885	1364	175
886	1365	173
887	1366	172
888	1368	170
889	1369	169
890	1371	167
891	1372	166
892	1373	164
893	1375	163
894	1378	161
895	1380	160
896	1381	158
897	1383	157
898	1384	155
899	1386	154
900	1387	152
901	1389	150
902	1390	149
903	1391	147
904	1393	146
905	1394	144
906	1396	143
907	1397	141
908	1398	140
909	1400	138
910	1401	136
911	1402	135
912	1403	133
913	1405	132
914	1406	130
915	1408	129
916	1409	127
917	1411	126
918	1412	124
919	1414	122
920	1415	121
921	1416	119
922	1418	118
923	1419	116
924	1420	115
925	1422	113
926	1423	112
927	1425	110
928	1426	109
929	1427	107
930	1428	105
931	1430	104
932	1431	102
933	1433	101
934	1434	99
935	1435	98
936	1437	96
937	1438	95
938	1440	93
939	1441	92
940	1442	90
941	1444	88
942	1445	87
943	1446	85
944	1448	84
945	1451	82
946	1453	81
947	1454	79
948	1455	78
949	1457	76
950	1458	75
951	1459	73
952	1460	72
953	1462	70
954	1463	68
955	1464	67
956	1466	65
957	1467	64
958	1468	62
959	1470	61
960	1471	59
961	1472	58
962	1473	56
963	1475	55
964	1476	53
965	1477	52
966	1479	50
967	1480	48
968	1481	47
969	1483	45
970	1484	44
971	1485	42
972	1486	41
973	1488	39
974	1489	38
975	1490	36
976	1492	35
977	1493	33
978	1494	32
979	1497	30
980	1498	29
981	1499	27
982	1501	25
983	1502	24
984	1503	22
985	1505	21
986	1506	19
987	1507	18
988	1509	16
989	1510	15
990	1512	13
991	1513	12
992	1514	10
993	1515	9
994	1516	7
995	1518	6
996	1519	4
997	1520	3
998	1522	1
999	1523	0
